match_type,similarity_pct,a_id,a_name,a_suburb,a_state,a_postcode,a_owner,b_id,b_name,b_suburb,b_state,b_postcode,b_owner
LOCATION,100,14fe48f1-224d-4cfb-a3e5-2332f26d65d8,Elements Pole & Aerial Tingalpa,tingalpa,QLD,4173,unclaimed,d8c4136d-e76c-4f92-a4b1-f3b9663fc0b0,Kai Woods Personal Training,tingalpa,QLD,4173,unclaimed
LOCATION,100,14fe48f1-224d-4cfb-a3e5-2332f26d65d8,Elements Pole & Aerial Tingalpa,tingalpa,QLD,4173,unclaimed,831dc56b-ff35-4b02-80c1-459a7070f334,Built By Brandon,tingalpa,QLD,4173,unclaimed
LOCATION,100,gym-382,Anytime Fitness Blacktown,blacktown,NSW,2148,unclaimed,gym-398,Gym Physio,blacktown,NSW,2148,unclaimed
LOCATION,100,05c583ad-efa3-48f0-afdb-05e308176a4d,Pronto Pilates - Miranda,miranda,NSW,2228,unclaimed,2072b185-647c-42c8-a997-b0c728601d08,Genisys Gymnasium,miranda,NSW,2228,unclaimed
LOCATION,100,gym-1791,Moonah Sports Centre,moonah,TAS,7009,unclaimed,gym-1795,Evolve Personal Training & Fitness,moonah,TAS,7009,unclaimed
LOCATION,100,gym-1791,Moonah Sports Centre,moonah,TAS,7009,unclaimed,2d5b737f-a284-407f-b1ef-065a20160f4c,National Fitness Southern Recreation Association,moonah,TAS,7009,unclaimed
LOCATION,100,4586ee22-67ba-4c63-9302-60b5ffd15ad8,Emerge Martial Arts,mascot,NSW,2020,unclaimed,480f9709-9ce3-4d63-b2d5-b001d68190d1,Peak_Form_Testing,mascot,NSW,2020,unclaimed
LOCATION,100,79a4e5ff-3a57-4f1c-aa4a-aa9a07e02c75,Fuel Bar - Cockburn,jandakot,WA,6164,unclaimed,b8add8aa-3b86-42e5-a168-5b7facb504e6,Roar Active Cockburn,cockburn central,WA,6164,unclaimed
LOCATION,100,gym-594,SJJA Cronulla,cronulla,NSW,2230,unclaimed,gym-584,Anytime Fitness Cronulla,cronulla,NSW,2230,unclaimed
LOCATION,100,gym-594,SJJA Cronulla,cronulla,NSW,2230,unclaimed,gym-591,RCVRI Cronulla,cronulla,NSW,2230,unclaimed
LOCATION,100,6ac85e27-f73d-4094-abb2-505c0693e2e1,1 Million Strong Gym,smithfield,QLD,4878,unclaimed,9765a61f-1838-4e61-9956-4b101c4a985c,Gymstar Fitness,smithfield,QLD,4879,unclaimed
LOCATION,100,29c11334-c3be-4e8d-8c98-db2423b2e3d0,Top Tier Strength & Conditioning,kelmscott,WA,2938,unclaimed,ad833579-22d3-4297-ad1b-884143cbaede,The Pilates Garage- Foothills Perth,kelmscott,WA,2938,unclaimed
LOCATION,100,29c11334-c3be-4e8d-8c98-db2423b2e3d0,Top Tier Strength & Conditioning,kelmscott,WA,2938,unclaimed,9470b196-2a73-4cd1-9968-fa05548da3e6,The Muay Thai Academy,kelmscott,WA,2938,unclaimed
LOCATION,100,7833c3cd-e267-401b-b368-647a50bd8093,Think 24hr Fitness,bulimba,QLD,4171,unclaimed,1c0389ea-04b5-4eb0-8294-b8803e74df37,SJJA Bulimba,bulimba,QLD,4171,unclaimed
LOCATION,100,d3d1186e-4514-4808-980d-b583da6060e1,Coast Fitness HQ,gosford,NSW,2250,unclaimed,871b865f-cf36-43a4-b48d-4dd89a4d0908,The Altitude Gym,gosford,NSW,2250,unclaimed
LOCATION,100,d3d1186e-4514-4808-980d-b583da6060e1,Coast Fitness HQ,gosford,NSW,2250,unclaimed,1513c921-e429-48d7-9abc-c1eafb4e80cc,Active Nation CC,gosford,NSW,2250,unclaimed
LOCATION,100,gym-271,Platinum Fitness Aveley,ellenbrook,WA,6069,owner-3,gym-282,Arachnid Gym,ellenbrook,WA,6069,owner-3
LOCATION,100,b85d877b-fbb6-4590-9e6d-55a5384a303a,PCYC Auburn,lidcombe,NSW,2141,unclaimed,dc74ba50-1b47-4994-974f-b426b74d6417,OLYMPIA FIT AUSTRALIA,auburn,NSW,2141,unclaimed
LOCATION,100,fc2bb185-5cf5-4882-89cd-c4372a82bb6e,Total Body PT & Fitness,old reynella,SA,5161,unclaimed,eb6d7882-470d-420e-9550-ed84e26f07f3,Zenith Fitness Academy,old reynella,SA,5161,unclaimed
LOCATION,100,gym-1219,Flow Physique,chermside,QLD,4032,unclaimed,3b490ca1-fd77-46be-b7c4-83e2e22e882a,Chermside Sports and Rehab,chermside,QLD,4032,unclaimed
LOCATION,100,fe95f8d1-1374-406f-ae69-b2647b15c223,Jetts Canning Vale South,canning vale,WA,6155,unclaimed,4fdeca5a-a159-4061-a307-ccd0b5b2dd57,Flex Fitness Equipment - Canning Vale,canning vale,WA,6155,unclaimed
LOCATION,100,fe95f8d1-1374-406f-ae69-b2647b15c223,Jetts Canning Vale South,canning vale,WA,6155,unclaimed,276538be-45cc-48fb-876c-c86f9bfbbdf2,BFT Canning Vale,canning vale,WA,6155,unclaimed
LOCATION,100,1037d03f-882f-481a-b51f-77f8ee62c1a9,F45 Training Tweed Heads,tweed heads nsw 2485,QLD,2485,unclaimed,d16bd8bf-658d-46d3-a353-7739cc8997ee,Studio 4 Higher Ground Fitness,tweed heads nsw 2485,QLD,2485,unclaimed
LOCATION,100,1fd1c703-263a-4602-bdb1-a480b64edb60,Olympian Frontiers Gym,leichhardt,NSW,2040,unclaimed,3dd0b9f6-6afb-4056-8b67-a9abc52eb382,Olympian Frontiers,leichhardt,NSW,2040,unclaimed
LOCATION,100,gym-1782,The Y Glenorchy,glenorchy,TAS,7010,unclaimed,gym-1784,YMCA Y-Fitness - Glenorchy,glenorchy,TAS,7010,unclaimed
LOCATION,100,gym-771,South Pacific Health Club St Kilda,st kilda,VIC,3182,unclaimed,gym-787,St Kilda Sea Baths Complex,st kilda,VIC,3182,unclaimed
LOCATION,100,ed28c34e-70e4-4bee-b1a0-3de11f830a1f,InnerFit Wellness & Recovery,leichhardt,NSW,2040,unclaimed,1862000e-1261-46f9-acf2-0de9662a6bd4,F45 Training Leichhardt,leichhardt,NSW,2040,unclaimed
LOCATION,100,gym-992,Fitness Fit 24 Hours,northcote,VIC,3070,unclaimed,051b3a28-6b5f-4c1c-8b70-dd5db56e302f,Kieser Northcote,northcote,VIC,3070,unclaimed
LOCATION,100,gym-992,Fitness Fit 24 Hours,northcote,VIC,3070,unclaimed,gym-998,Revive Thrive Northcote,northcote,VIC,3070,unclaimed
LOCATION,100,0750d31c-3711-4e0c-9733-916473601e1a,Good Times Training,manunda,QLD,4870,unclaimed,a9549a9c-c013-4fe1-b655-1c86b8de35da,Nukzu muay thai,manunda,QLD,4870,unclaimed
LOCATION,100,gym-1261,Over 50's Health @ Dolphins Gym,redcliffe,QLD,4021,unclaimed,gym-1259,Dolphins Fitness & Aquatic,redcliffe,QLD,4020,unclaimed
LOCATION,100,e16d1d9d-02ae-4f80-b22c-4ea85c2636a2,Fazfit,miranda,NSW,2228,unclaimed,c3ac1312-03fd-4e3e-b91e-25c05d5abb00,EMF Jnr Miranda,miranda,NSW,2228,unclaimed
LOCATION,100,e16d1d9d-02ae-4f80-b22c-4ea85c2636a2,Fazfit,miranda,NSW,2228,unclaimed,35f3afa3-8faf-4beb-b474-b02abb8f180b,EMF Performance and Recovery Centre Miranda,miranda,NSW,2228,unclaimed
LOCATION,100,32baca33-62c0-4d57-ab5b-a93be958f171,Garage Jiu Jitsu Central Coast,tuggerah,NSW,2259,unclaimed,c30e0b1c-e855-4442-8979-e11dea8fbdf6,KRÜW.HQ,tuggerah,NSW,2259,unclaimed
LOCATION,100,gym-1190,Bionic Fitness,toowong,QLD,4066,unclaimed,gym-1198,Performance Physio Fitness Health,toowong,QLD,4066,unclaimed
LOCATION,100,gym-1190,Bionic Fitness,toowong,QLD,4066,unclaimed,gym-1187,Riverside Fitness,toowong,QLD,4066,unclaimed
LOCATION,100,gym-1198,Performance Physio Fitness Health,toowong,QLD,4066,unclaimed,gym-1187,Riverside Fitness,toowong,QLD,4066,unclaimed
LOCATION,100,gym-827,Upstate Studios,fitzroy,VIC,3065,unclaimed,gym-815,Mind and Body Gym Fitzroy,fitzroy,VIC,3065,unclaimed
LOCATION,100,gym-1618,Karmony Performance & Wellbeing,norwood,SA,5067,unclaimed,gym-1622,The Nth Degree,norwood,SA,5067,unclaimed
LOCATION,100,gym-1332,Victorious Gym,woolloongabba,QLD,4102,unclaimed,7dc99aed-48b3-46b4-9e09-2dda52c38fbc,Sports & Spinal Woolloongabba,woolloongabba,QLD,4102,unclaimed
LOCATION,100,gym-234,Bolt Athletic,victoria park,WA,6100,owner-3,gym-236,Mindbody Lounge,victoria park,WA,6100,owner-3
LOCATION,100,gym-234,Bolt Athletic,victoria park,WA,6100,owner-3,gym-233,BOLT Health and Fitness,victoria park,WA,6100,owner-3
LOCATION,100,gym-234,Bolt Athletic,victoria park,WA,6100,owner-3,gym-230,20FIT Victoria Park,victoria park,WA,6100,owner-3
LOCATION,100,gym-234,Bolt Athletic,victoria park,WA,6100,owner-3,gym-227,Females over 45 Fitness,victoria park,WA,6100,owner-3
LOCATION,100,gym-392,Full Force Gym,blacktown,NSW,2148,unclaimed,gym-383,Plus Fitness 24/7 Blacktown,blacktown,NSW,2148,unclaimed
LOCATION,100,3f59127c-4c84-4ac1-a033-444f53c5774e,Coaching Zone Belmont,belmont,WA,6104,unclaimed,e7504efa-f266-40e4-b9f1-5cbf4ab9634f,Genesis Health and Fitness Belmont,belmont,WA,6104,unclaimed
LOCATION,100,gym-120,Royalty Fitness 24/7,cannington,WA,6107,owner-3,gym-129,SpeedFit Cannington,cannington,WA,6107,owner-3
LOCATION,100,gym-1365,F45 Training Wynnum,wynnum,QLD,4178,unclaimed,gym-1359,BFT Wynnum,wynnum,QLD,4178,unclaimed
LOCATION,100,a37a6be8-de49-45f9-a7d3-108c86b0d0e2,Melton Pilates,melton,VIC,3337,unclaimed,c5a72b77-143a-42c7-9732-de62116b8a94,Melton Yoga,melton,VIC,3337,unclaimed
LOCATION,100,6f320782-3176-4fbe-a95e-b8648f6e4e35,Body Agility - Belmont Gym,belmont,WA,6104,unclaimed,e7504efa-f266-40e4-b9f1-5cbf4ab9634f,Genesis Health and Fitness Belmont,belmont,WA,6104,unclaimed
LOCATION,100,b75710bf-86ea-4dc6-8c38-975b47508b12,Central Performance,surry hills,NSW,2010,unclaimed,gym-442,Edge Fit Surry Hills,surry hills,NSW,2010,unclaimed
LOCATION,100,f851bd3e-cdf3-4ec7-b93c-9dda074ece89,REVL Training Sippy Downs,sippy downs,QLD,4556,unclaimed,648d406a-5adc-4dd1-8315-76491f6bb3ed,Trainr @ Fitness Cartel,sippy downs,QLD,4556,unclaimed
LOCATION,100,f851bd3e-cdf3-4ec7-b93c-9dda074ece89,REVL Training Sippy Downs,sippy downs,QLD,4556,unclaimed,61c6e021-c96c-439d-a75e-12a6d69c88c2,Club Pilates,sippy downs,QLD,4556,unclaimed
LOCATION,100,gym-1180,Furlani Fitness,brisbane city,QLD,4000,unclaimed,gym-1140,EMF Performance and Recovery Centre Brisbane,brisbane city,QLD,4000,unclaimed
LOCATION,100,gym-1831,Group Fit Devonport,devonport,TAS,7310,unclaimed,gym-1830,Anytime Fitness Devonport,devonport,TAS,7310,unclaimed
LOCATION,100,gym-1526,NYG Fitness,nambour,QLD,4506,unclaimed,gym-1518,Snap Fitness 24/7 ( Nambour),nambour,QLD,4560,unclaimed
LOCATION,100,gym-1182,Inertia Fitness - West End Gym,west end,QLD,4101,unclaimed,gym-1196,Anytime Fitness West End,west end,QLD,4101,unclaimed
LOCATION,100,a1ff7519-96c4-49c6-8ed5-4be8df04c0e4,HY PT Studio,strathfield,NSW,2135,unclaimed,b3cf7657-1d7c-4d51-a54b-0b0971f3b721,Deepwater Performance,strathfield,NSW,2135,unclaimed
LOCATION,100,55366ee2-2349-489b-b4d3-6f49a3ae1634,City Cave Everton Park,everton park,QLD,4053,unclaimed,292575f7-047b-4f5b-b68e-936f112ce14a,Studio Pilates International Everton Park,everton park,QLD,4053,unclaimed
LOCATION,100,55366ee2-2349-489b-b4d3-6f49a3ae1634,City Cave Everton Park,everton park,QLD,4053,unclaimed,fa222ead-a283-4b3d-bd20-330e248c7cc9,BFT Everton Park,everton park,QLD,4053,unclaimed
LOCATION,100,39530ad8-6890-4627-843f-cc763c9ac2d3,#HER GYM 24/7,kings meadows,TAS,7249,unclaimed,0c1e320a-4ec3-4d33-9849-fb76bddaad1d,GYM@ONE,kings meadows,TAS,7249,unclaimed
LOCATION,100,d0ae9f0d-b489-40d3-b204-6b12bd7c712a,Sole Studios,lilydale,VIC,3140,unclaimed,e96394ce-9584-46ba-9b91-44e1b18f88cf,Anytime Fitness Lilydale,lilydale,VIC,3140,unclaimed
LOCATION,100,9508e103-cc7b-4bd9-b9b9-dbfa1108e848,LiFT Strength and Conditioning Sippy Downs,sippy downs,QLD,4556,unclaimed,3d8a9291-b639-4ab1-b65e-fdd8f8f95672,@pilates Sippy Downs,sippy downs,QLD,4556,unclaimed
LOCATION,100,797c73ec-da19-4060-9587-de4bb8beb1fc,Alt+ State Pilates,geraldton,WA,6530,unclaimed,ab2997c8-29f3-423e-a054-476b6af67288,Geraldton Pilates & Yoga,geraldton,WA,6530,unclaimed
LOCATION,100,f8e42a98-6e8e-484d-a03b-2b310cd04ac7,W.Tribe Centre,tuggerah,NSW,2259,unclaimed,7e9c75a3-13eb-42fc-ba4d-ef3b589bad32,F45 Training Tuggerah,tuggerah,NSW,2259,unclaimed
LOCATION,100,95b3ccb7-0fe5-4781-8882-ab1e727b1921,Elquera Mundine Tony Gym,redfern,NSW,2016,unclaimed,a85e3c30-7c64-4802-a3fe-e894b06347c5,Elouera Tony Mundine Gym,redfern,NSW,2016,unclaimed
LOCATION,100,gym-1506,Fitstop Noosa,noosaville,QLD,4566,unclaimed,gym-1504,EFM Health Clubs Noosaville (Noosa Gym),noosaville,QLD,4566,unclaimed
LOCATION,100,21f4dae1-d6b7-4640-831e-70d1864fb6ca,Anytime Fitness - Belmont,belmont,WA,6104,unclaimed,e79bc4e2-d398-419d-a305-9f0b3ab7f889,Fitstop Belmont,belmont,WA,6105,unclaimed
